descriptor_file,n_features,macro_f1_val
train_QS.csv,56,0.445737785165026
train_PAAC.csv,22,0.42190738799497085
train_APAAC.csv,28,0.40969760884808454
train_CTDD.csv,195,0.401245219518221
train_kmer.csv,400,0.3773172260246279
train_DDE.csv,400,0.3714773374437292
train_CTDC.csv,39,0.369218021106223
train_CTDT.csv,39,0.3482890537884473
train_GTPC.csv,125,0.31040986434659684
train_GDPC.csv,25,0.30700449182624673
train_SOC.csv,16,0.2897590150636166
train_CTriad.csv,343,0.27799655210166635
train_GAAC.csv,5,0.22261737963794273
